ASD,Seizure,Comorbidity
XIST,ADGRB3,ADGRV1
ADGRV1,AC092691.1,AC092691.1
AC092691.1,ADGRV1,ADGRB3
ADGRB3,ADGRL3,OBI1-AS1
OBI1-AS1,CARMIL1,ADGRL3
ADGRL3,GPR98,AL589740.1
AL589740.1,BAI3,HSPA1A
HSPA1A,OBI1-AS1,CALM2
CARMIL1,AL589740.1,CARMIL1
AC073050.1,RP11-384F7.2,AC073050.1
NR4A3,AC114971.1,HSPA1B
PLPP3,RNF219-AS1,CHI3L1
DPH6-AS1,AC073050.1,PLPP3
CALM2,RASGEF1B,ERBIN
ERBIN,ERBIN,MT-ND3
HSPA1B,AC002429.2,COX5B
PRKN,LHFPL6,TMSB4X
MTND2P28,LPHN3,PRKN
SEPTIN7,MALAT1,MT-ND2
ASB3,ASB3,SEPTIN7
ADGRG1,GAREM1,ASB3
GRAMD2B,PRKN,RPS27
ZFP36,LINC00472,ADGRG1
AC002429.2,LRRC16A,RPS15
CH17-472G23.1,RP11-436D23.1,GRAMD2B
GADD45B,AL137139.2,CHCHD2
MT1X,LINGO1,AC002429.2
FTH1P8,AL109809.5,PLSCR1
DANT2,PLPP3,MT1X
RPS27,SOX5,MTATP6P1
RP5-965F6.2,LINC00486,DANT2
GAREM1,GRAMD2B,GAREM1
CCL2,MT-RNR2,HES5
PLSCR1,AC106845.1,CCL2
HILPDA,PARK2,GPX4
AL137139.2,AC074363.1,HILPDA
CHI3L1,MIR100HG,GFAP
AL109809.5,SEPT7,TCF25
SYTL4,CCN1,AL137139.2
AC114971.1,RP11-444D3.1,CCK
SNHG25,AC073475.1,ZFYVE28
LHFPL6,SLC26A3,AL109809.5
GNA14-AS1,HSPA1A,ARHGEF3
ZFYVE28,AC079352.1,SLC39A14
TUT4,SPARCL1,STMN1
CD44,MTSS2,HSPB1
MTSS2,GRAMD3,AC114971.1
LUC7L2,PPAP2B,SNHG25
MROH7,ADGRG1,LHFPL6
AC002460.2,SEPTIN7,ZFP36
SLC14A1,AF117829.1,CD44
PRDM16-DT,MRTFA,IFITM3
CPNE8,GAREM,TUT4
AC073475.1,SEPTIN11,APOD
ATP5ME,INO80D,FOS
ALDOC,HSPA1B,MTSS2
GMDS-DT,HSPB1,TPST1
AOPEP,AC007389.1,SLC14A1
AC053513.1,AC003991.1,LUC7L2
AL139260.1,SOX2,AC002460.2
AC087854.1,AC002460.2,MROH7
LINC02649,DANT2,CRISPLD1
PANTR1,TMEM14B,PRDM16-DT
LEPR,NEAT1,AC073475.1
MSMO1,AC002069.2,ATP5ME
ADGRA3,LINC02649,ALDOC
ANGPTL4,LINC01748,NGFRAP1
GASK1A,LINC00513,MATN2
AC087564.1,TUT4,ELL2
AC091826.2,AFDN,GMDS-DT
ITPKC,SNHG25,AOPEP
CTSD,TAFA1,BEX1
OGA,ERBB2IP,AC053513.1
MIR4300HG,RP11-166D19.1,AL139260.1
TPST1,BCYRN1,AC087854.1
GFRA1,LINC01473,LINC02649
AC007389.1,MTSS1L,PANTR1
MATN2,RP11-761E20.1,LINC00969
CCDC18-AS1,ANKHD1,ANGPTL4
VAMP2,SMYD3,YTHDF1
RP5-857K21.6,LHFP,RPL41
LINC01748,FOS,GNA14-AS1
TENT2,SLC6A1-AS1,FXYD1
YTHDF1,COP1,MIR100HG
MEIKIN,LCNL1,ZFP36L1
FXYD1,AC002429.5,ADGRA3
PROS1,AL392086.3,GASK1A
AL392086.3,AC091826.2,AC087564.1
AFDN,ZNRF3,AC091826.2
HHATL,LRP4,CTSD
ECPAS,RP11-154D17.1,OGA
ELL2,GPR56,MIR4300HG
ARHGEF3,RP1-34H18.1,AC007389.1
RPL41,GMDS-AS1,RP5-857K21.6
AP002336.2,AL160272.1,CCDC18-AS1
PCNX1,LARGE1,VAMP2
BABAM2,AC092924.2,LINC01748
MIR100HG,PPP3R1,BAALC-AS1
SELENOW,TENT2,TENT2
HSD17B7,SGK3,MEIKIN
SOCS3,AC009041.2,LINC00472
MRTFB,ZCCHC11,YWHAH
FTLP3,AC087564.1,PTMAP2
DCHS2,ADGRA3,AL392086.3
AC072062.1,GPR75-ASB3.1,AFDN
AC097518.2,FAM19A1,SOCS3
ANKHD1,LINC-PINT,HHATL
ATP6V0C,PLPP1,ECPAS
EIF4A1,OGA,PCP4
RP11-561I11.4,AL513217.1,DUSP1
AC009120.4,PANTR1,PFKP
SEPTIN8,KDM4C,SERPINA3
SERPINA3,AC098829.1,AP002336.2
JDP2,TNRC6A,PCNX1
APOD,TMSB4X,XIRP2
ZIC1,GMDS-DT,BABAM2
AC008957.2,AC046134.2,SULF1
FLJ39080,WASHC1,SELENOW
AC078842.4,AC097518.2,LDLR
ABCD4,CCNH,MRTFB
CH507-513H4.1,CCDC18-AS1,FAS
AC009041.2,ITPRID2,AC097518.2
SEPTIN11,MIR4300HG,ANKHD1
SPATA13,AC053513.1,ITPKC
CPLANE1,AC074391.1,ATP6V0C
AC098829.1,AC138627.1,EIF4A1
AC046134.2,PRODH,MTND1P23
GARS-DT,CALM2,ZIC1
NSD3,SUZ12P1,KDM4C
TXNIP,AC091078.1,HDHD3
RP11-114N19.3,ZNF37BP,SEPTIN8
MTND1P23,CTD-2282P23.2,ATPIF1
AF117829.1,PFKFB2,AC008957.2
NRDC,FNIP1,AC009041.2
PLPP1,LINC00693,RP11-517I3.2
RABGEF1,RP11-179A16.1,PLP1
AL160272.1,LUC7L2,SEPTIN11
SEPTIN2,TMSB10,DNAJB1
HACD3,AC008957.2,SPATA13
TMEM14B,DNAJB1,RABGEF1
STX16,GPR125,AC105402.4
GPX4,RP4-717I23.3,CPLANE1
METRN,CTSD,AC098829.1
ANOS1,HHATL,AC046134.2
FNIP1,METRN,GARS-DT
COP1,LINC01158,NSD3
AL391807.1,SEPTIN2,HINT1
GBP1,MROH7,AF117829.1
EMP1,AC099792.1,NRDC
AC011346.1,LARGE,PLPP1
LGALS3,CTC-498M16.4,AIFM3
LINC00472,PCNX1,SHC1
AIFM3,RP11-776H12.1,AL160272.1
NIPSNAP2,AC104596.1,SEPTIN2
SHC1,MMD2,HACD3
ATP5F1E,ATP5ME,TMEM14B
LINC01578,AL022068.1,STX16
GALNT16,C9orf3,GFRA1
OSMR-AS1,ANOS1,METRN
SLC39A14,AC108519.1,ANOS1
AC053527.2,AP000487.6,COP1
DGLUCY,MYORG,RP11-611E13.2
C7orf60,MGEA5,NPDC1
FTH1P10,ALDH4A1,UCHL1
PPP3R1,SPATA13,AL391807.1
SOX2,FXYD1,TCEAL2
CRISPLD1,RHOT2,STMN2
AC099792.1,AC079142.1,FNIP1
NORAD,SEPW1,AC011346.1
LINC00513,AC016831.1,OSMR
TMEM94,RP5-864K19.4,ARL6IP1
TAFA5,AL078604.4,NPAS4
ARMH4,GRK3,GAP43
AC106845.1,BRE,NIPSNAP2
PWWP3A,AL049828.1,RBPMS
BEX3,RP11-679C8.2,MIF
MIF,DDX39B,ATP5F1E
PML,AOPEP,TANC1
ADM,RP11-39M21.1,NDUFB2
AEBP1,TRIM9,LINC01578
WASHC1,ALDOC,NDUFB11
HDHD3,MT2P1,EMP1
ARL6IP1,AC110023.1,SNHG9
GATD1,AL591686.2,GBP1
ATP5F1B,PCNX,GNG3
LARGE1,BABAM2,NDUFA13
DOP1A,ATP5E,AC053527.2
CERS1,AC004980.7,DGLUCY
MRTFA,RP11-37B2.1,PPP3R1
AC083837.1,MEIKIN,SOX2
ARMH1,NRD1,SIRPB3P
AC118549.1,AL157396.1,AC099792.1
TAFA1,NGFRAP1,NORAD
AL356737.2,AC023095.1,GABARAPL2
RP11-750B16.1,GUSBP1,MTND2P28
KDM4C,ALOX12P2,ATF7
AC079352.1,CALN1,LINC00513
SULF1,STMN1,TMEM94
XIRP2,PWWP3A,AC078842.4
CLIC4,INADL,TAFA5
ACBD6,AC027117.2,ARMH4
AC009120.2,NSD3,FOSB
RHOT2,ARMH1,AC106845.1
ADGRB1,SLC5A3,PWWP3A
AC091078.1,SEPT2,BEX3
SPART,ECPAS,C1RL
TIA1,USP39,SST
KREMEN1,PPAP2A,RAB3A
POLR2J3,SEPT11,EGR1
ATP5MD,NRXN3,WASHC1
SPECC1L,AC021231.1,ADM
HERC2P3,AC113414.1,GATD1
DISP3,AC011346.1,HLA-E
AC104596.1,PTPLAD1,PML
AC079781.5,VSIR,ATP5F1B
KMT5B,PAPD4,LARGE1
AC019257.1,RP11-436K8.1,DOP1A
ATP5MPL,RABGEF1,CERS1
CDKN1A,AC008014.1,MRTFA
CYP1D1P,ALDOA,MAP3K6
NPDC1,AP000462.2,RASD1
ARMH3,BCOR,C10orf10
