"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADGRB3",0,2.89701591877325,0.902,0.146,0
"AC092691.1",0,3.14149596202064,0.893,0.167,0
"ADGRV1",0,2.519222908452,0.883,0.17,0
"ADGRL3",4.34161592356508e-291,2.87776882991611,0.748,0.128,2.12665372783988e-286
"CARMIL1",3.19725258717495e-283,2.9901227592116,0.683,0.1,1.5661102347759e-278
"GPR98",2.06986204957045e-229,-13.8507406335577,0,0.755,1.0138805277411e-224
"BAI3",3.22452615805332e-223,-13.7598316879115,0,0.743,1.57946964799926e-218
"OBI1-AS1",2.92308142295431e-214,2.46661819004097,0.663,0.13,1.43181297340571e-209
"AL589740.1",7.6573534567287e-202,2.48481142645191,0.605,0.112,3.75080144370942e-197
"RP11-384F7.2",1.25664943525771e-197,-13.3238408165033,0,0.691,6.15544592872283e-193
"AC114971.1",7.37147529972826e-189,3.10968415477542,0.446,0.055,3.61076974606589e-184
"RNF219-AS1",3.91563516147145e-188,-13.1691794825157,0,0.671,1.91799557114356e-183
"AC073050.1",3.90227296328864e-187,2.72754653064307,0.546,0.097,1.91145036560768e-182
"RASGEF1B",7.81034817709827e-186,-5.87248933425779,0.049,0.693,3.82574284758805e-181
"ERBIN",2.58429372513604e-179,2.86570466153249,0.495,0.081,1.26586459538339e-174
"AC002429.2",1.07926954997415e-178,3.02631997470046,0.466,0.069,5.28658603663836e-174
"LHFPL6",2.47768942430295e-176,3.14192635577173,0.427,0.055,1.21364661070631e-171
"LPHN3",1.20364772686341e-168,-12.7029404347392,0,0.627,5.89582766049505e-164
"MALAT1",1.02905590102642e-165,-1.15115345387299,1,1,5.04062451999771e-161
"ASB3",1.68244163408341e-153,2.74101191994407,0.441,0.074,8.24110385623076e-149
"GAREM1",4.43259617911175e-148,2.95810824671842,0.407,0.063,2.17121858641431e-143
"PRKN",8.83703707619863e-146,2.45424521353433,0.444,0.077,4.32864587103437e-141
"LINC00472",3.70024150593453e-144,3.0595982145034,0.368,0.051,1.81248929685191e-139
"LRRC16A",7.71851975356687e-141,-12.1266021915304,0,0.558,3.78076253088966e-136
"RP11-436D23.1",3.41109836969698e-135,-12.4201289568442,0,0.543,1.67085831442867e-130
"AL137139.2",3.25274192916591e-131,2.71816521162635,0.375,0.059,1.59329057916334e-126
"LINGO1",2.06294107240556e-130,-5.71485031137351,0.016,0.549,1.01049042549641e-125
"AL109809.5",3.35330262197704e-130,2.85325205335813,0.366,0.057,1.64254822332301e-125
"PLPP3",1.00256351454017e-128,2.4603079777532,0.428,0.084,4.9108568632721e-124
"SOX5",1.62165917128754e-127,1.39185833721178,0.891,0.692,7.94337311871773e-123
"LINC00486",6.45200570231219e-124,-2.43930381667651,0.443,0.771,3.16038595316358e-119
"GRAMD2B",1.08325023590559e-123,2.51557756960763,0.391,0.07,5.30608463053636e-119
"MT-RNR2",1.13842846224078e-120,-12.6523301381696,0,0.503,5.57636413659403e-116
"AC106845.1",3.42167260383791e-118,3.53609888271806,0.256,0.026,1.67603789153792e-113
"PARK2",1.06780765333512e-115,-11.6408832167263,0,0.488,5.23044222833142e-111
"AC074363.1",2.59687407716598e-114,-11.7981331890263,0,0.484,1.27202682921821e-109
"MIR100HG",9.9886949882471e-110,2.41788096195163,0.495,0.15,4.89276246609308e-105
"SEPT7",4.82918720400374e-105,-11.4574752219886,0,0.456,2.36548076813715e-100
"CCN1",1.06382985704157e-102,4.7789447221036,0.165,0.007,5.2109577887467e-98
"RP11-444D3.1",2.8895691512463e-100,-11.4691718561225,0,0.441,1.41539765735498e-95
"AC073475.1",6.18016804201864e-97,2.62513993547176,0.292,0.048,3.02723171202199e-92
"SLC26A3",1.35068543840982e-96,-5.65332759206149,0.01,0.444,6.61606248296285e-92
"HSPA1A",2.3170256848023e-95,3.14813808972036,0.344,0.08,1.13494869118671e-90
"AC079352.1",2.95927897099325e-94,3.26598674594702,0.217,0.024,1.44954361836162e-89
"SPARCL1",8.28285838066368e-94,-1.31436652993858,0.579,0.877,4.05719252060049e-89
"MTSS2",4.60085972733202e-93,2.45601619831251,0.294,0.051,2.25363912023904e-88
"GRAMD3",4.98183057088899e-93,-11.3460566252504,0,0.418,2.44025006853856e-88
"PPAP2B",7.28399758073614e-93,-11.2605356249781,0,0.417,3.56792053497198e-88
"ADGRG1",1.94776492322222e-90,2.07753512671157,0.342,0.072,9.54073692341938e-86
"SEPTIN7",4.47758186946956e-87,2.12213203760466,0.34,0.075,2.19325392712228e-82
"AF117829.1",6.57530304900551e-87,2.88624679488117,0.229,0.031,3.22078069249437e-82
"MRTFA",1.72579849078519e-86,3.36169439150532,0.207,0.024,8.4534787474131e-82
"GAREM",3.16288924295628e-86,-11.1690235608236,0,0.395,1.54927803787727e-81
"SEPTIN11",2.19829247136834e-85,3.03199072030224,0.229,0.032,1.07678960125035e-80
