nodeName	altName	nodeAttr[nodesPresent, ]
DPH6-AS1	NA	blue
PRKN	NA	turquoise
SEPTIN7	NA	turquoise
TUT4	NA	turquoise
LUC7L2	NA	turquoise
MROH7	NA	turquoise
AC002460.2	NA	turquoise
PANTR1	NA	turquoise
ADGRA3	NA	turquoise
MIR4300HG	NA	turquoise
TENT2	NA	turquoise
FXYD1	NA	turquoise
HHATL	NA	turquoise
PCNX1	NA	turquoise
BABAM2	NA	turquoise
FLJ39080	NA	blue
AC098829.1	NA	turquoise
NSD3	NA	turquoise
AF117829.1	NA	turquoise
RABGEF1	NA	turquoise
AL160272.1	NA	turquoise
SEPTIN2	NA	turquoise
STX16	NA	turquoise
METRN	NA	turquoise
AL391807.1	NA	turquoise
AC011346.1	NA	turquoise
LINC00472	NA	turquoise
NIPSNAP2	NA	turquoise
AC053527.2	NA	turquoise
DGLUCY	NA	turquoise
BEX3	NA	turquoise
WASHC1	NA	turquoise
LARGE1	NA	turquoise
AC079352.1	NA	turquoise
AC009120.2	NA	turquoise
SPART	NA	turquoise
KREMEN1	NA	turquoise
AC104596.1	NA	turquoise
KMT5B	NA	turquoise
OAZ1	NA	turquoise
AC025159.1	NA	turquoise
TASOR2	NA	turquoise
CCDC144A	NA	turquoise
AC079142.1	NA	turquoise
DIPK1A	NA	turquoise
ATF7	NA	turquoise
SPRY4-AS1	NA	turquoise
AC008014.1	NA	turquoise
BMERB1	NA	turquoise
DPH6-DT	NA	turquoise
PRXL2A	NA	turquoise
SLF2	NA	turquoise
AZIN1-AS1	NA	turquoise
ATP5MF	NA	turquoise
PCNX4	NA	turquoise
TMEM205	NA	turquoise
AL645568.1	NA	turquoise
AL022068.1	NA	turquoise
RPL26	NA	turquoise
HULC	NA	turquoise
TOGARAM1	NA	turquoise
LINC01727	NA	turquoise
ELOB	NA	turquoise
ZNF544	NA	turquoise
MIR29B2CHG	NA	turquoise
FAM198B-AS1	NA	turquoise
ATP5F1A	NA	turquoise
RTL8C	NA	turquoise
ATP5F1D	NA	turquoise
SELENOF	NA	turquoise
STRADA	NA	turquoise
POU3F3	NA	turquoise
AC108519.1	NA	turquoise
PFKFB2	NA	turquoise
VPS50	NA	turquoise
SGO1-AS1	NA	turquoise
NGRN	NA	turquoise
AC006148.1	NA	turquoise
FAM106A	NA	turquoise
RETREG3	NA	turquoise
DENND11	NA	turquoise
WASHC3	NA	turquoise
TMEM91	NA	turquoise
AL136366.1	NA	turquoise
CASTOR2	NA	turquoise
SRP19	NA	turquoise
AC007402.1	NA	turquoise
AC124852.1	NA	turquoise
GPR98	NA	blue
BAI3	NA	blue
RNF219-AS1	NA	blue
LRRC16A	NA	blue
AC074363.1	NA	blue
GRAMD3	NA	blue
SUZ12P1	NA	blue
CTC-498M16.4	NA	blue
AC004980.7	NA	blue
ATP5I	NA	blue
AC012593.1	NA	blue
MUM1	NA	blue
AC119674.1	NA	turquoise
AC009879.4	NA	turquoise
RP11-517I3.2	NA	blue
RP11-373N22.3	NA	blue
AL162253.2	NA	turquoise
ANTKMT	NA	turquoise
CTD-2007H13.3	NA	blue
AHSA2	NA	blue
RP5-921G16.1	NA	blue
RP11-597D13.9	NA	blue
RP4-613B23.1	NA	blue
RP11-281A20.2	NA	blue
MCRIP1	NA	turquoise
AC006059.1	NA	turquoise
B3GALTL	NA	blue
RP11-440L14.1	NA	blue
SEPT9	NA	blue
AC009899.1	NA	turquoise
LINC02340	NA	turquoise
MROH7-TTC4	NA	blue
AC097376.3	NA	turquoise
CTB-113D17.1	NA	blue
GS1-124K5.10	NA	blue
AC006001.2	NA	turquoise
AC008269.1	NA	turquoise
HKR1	NA	blue
AC011416.4	NA	turquoise
RP11-554F20.1	NA	blue
C10orf11	NA	blue
MICOS13	NA	turquoise
LINC02406	NA	turquoise
AC002117.1	NA	blue
RP11-333E1.1	NA	blue
CH17-472G23.4	NA	blue
RP13-104F24.2	NA	blue
EFCAB11	NA	turquoise
UBE2Q2P2	NA	blue
RP11-420A23.1	NA	blue
ZNF663P	NA	blue
RP11-16P20.3	NA	blue
AL132857.1	NA	turquoise
RP11-274B21.1	NA	blue
RP11-1102P16.1	NA	blue
KDM2B-DT	NA	turquoise
RP11-308D16.2	NA	blue
FCSK	NA	turquoise
NTM-AS1	NA	turquoise
AC095060.1	NA	turquoise
RP11-16B13.1	NA	blue
C5orf28	NA	blue
RP11-242D8.1	NA	blue
HEXA	NA	turquoise
CTA-292E10.6	NA	blue
FAM73B	NA	blue
HPF1	NA	turquoise
RP1-104O17.2	NA	blue
TAFA2	NA	turquoise
FAM134B	NA	blue
GOLGA2P7	NA	blue
CZIB	NA	turquoise
RP11-799O21.2	NA	blue
ZSCAN26	NA	turquoise
RP11-297D21.4	NA	blue
PRRG1	NA	turquoise
CTD-2270P14.1	NA	blue
C3orf17	NA	blue
C1orf123	NA	blue
TAP2	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	blue
NA	NA	blue
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	blue
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
NA	NA	turquoise
