"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00190","hsa00190","Oxidative phosphorylation","15/167","134/8644",3.87483998118625e-08,9.49335795390632e-06,9.17725258702007e-06,"521/527/514/506/9551/51079/498/513/4714/509/10975/10632/517/522/126328",15
"hsa05012","hsa05012","Parkinson disease","18/167","266/8644",3.46460386911013e-06,0.000424413973965991,0.000410282037131462,"805/5071/514/23516/506/10381/1843/7979/51079/498/513/4714/10383/509/10975/517/522/126328",18
"hsa05020","hsa05020","Prion disease","17/167","272/8644",1.87386034551119e-05,0.00153031928216747,0.00147936343066673,"3303/3304/514/5534/506/10381/7979/51079/498/513/4714/10383/509/10975/517/522/126328",17
"hsa05415","hsa05415","Diabetic cardiomyopathy","14/167","203/8644",3.61664929549907e-05,0.0019699620832518,0.00190436721259573,"1509/514/506/51079/5524/498/513/4714/509/10975/517/522/126328/7043",14
"hsa04714","hsa04714","Thermogenesis","15/167","232/8644",4.02033078214654e-05,0.0019699620832518,0.00190436721259573,"521/514/506/9551/51079/498/513/4714/509/10975/10632/517/522/126328/6601",15
"hsa05016","hsa05016","Huntington disease","17/167","306/8644",8.32035405399184e-05,0.00330346068445826,0.00319346360473946,"514/506/548644/10381/1173/7979/51079/498/513/4714/10383/509/10975/517/522/126328/5437",17
"hsa04144","hsa04144","Endocytosis","15/167","250/8644",9.43845909845217e-05,0.00330346068445826,0.00319346360473946,"3303/3304/5371/100287171/23111/3949/23325/1173/7037/5338/51019/5878/157/3106/156",15
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","18/167","364/8644",0.000223427665324328,0.00684247225055754,0.00661463482868076,"5071/514/5534/506/9818/10381/7979/51079/3178/498/513/4714/10383/509/10975/517/522/126328",18
"hsa05010","hsa05010","Alzheimer disease","17/167","384/8644",0.00117308358353972,0.0307491367409765,0.0297252664520718,"805/514/23516/5534/506/10381/7979/51079/498/513/4714/10383/509/10975/517/522/126328",17
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","12/167","223/8644",0.00125506680575414,0.0307491367409765,0.0297252664520718,"514/506/51079/498/5338/513/4714/509/10975/517/522/126328",12
"hsa00100","hsa00100","Steroid biosynthesis","3/167","20/8644",0.00634057849226017,0.141221975509431,0.136519632608473,"6307/51478/1595",3
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","17/167","476/8644",0.0103797394163016,0.211919679749491,0.204863277953321,"805/5071/514/5534/506/10381/7979/51079/498/513/4714/10383/509/10975/517/522/126328",17
"hsa05171","hsa05171","Coronavirus disease - COVID-19","10/167","232/8644",0.0143816647360497,0.250912520809521,0.242557753736379,"6232/6347/6171/6139/6154/6144/6173/6133/10379/6122",10
"hsa00565","hsa00565","Ether lipid metabolism","4/167","50/8644",0.0155260139941129,0.250912520809521,0.242557753736379,"8613/8611/5338/85465",4
"hsa03010","hsa03010","Ribosome","8/167","167/8644",0.0155342822457358,0.250912520809521,0.242557753736379,"6232/6171/6139/6154/6144/6173/6133/6122",8
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","5/167","77/8644",0.0163861238079687,0.250912520809521,0.242557753736379,"23176/55752/4735/6464/10801",5
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","7/167","142/8644",0.0199990707443587,0.288221901903992,0.278624824611808,"5071/9021/64326/5371/55284/6923/10273",7
"hsa04340","hsa04340","Hedgehog signaling pathway","4/167","56/8644",0.022662695629528,0.308464468290798,0.298193363546422,"57467/730094/157/156",4
"hsa05211","hsa05211","Renal cell carcinoma","4/167","69/8644",0.0440845525655786,0.541538434947749,0.523506542914043,"1026/6923/112398/7043",4
"hsa04216","hsa04216","Ferroptosis","3/167","41/8644",0.0442072191794081,0.541538434947749,0.523506542914043,"2879/23516/7037",3
"hsa04115","hsa04115","p53 signaling pathway","4/167","74/8644",0.0545538102175562,0.558379961904049,0.539787288629049,"4616/64326/575/1026",4
"hsa05214","hsa05214","Glioma","4/167","75/8644",0.0567958061656507,0.558379961904049,0.539787288629049,"805/4616/6464/1026",4
"hsa05212","hsa05212","Pancreatic cancer","4/167","76/8644",0.059086794264671,0.558379961904049,0.539787288629049,"4616/1026/5338/7043",4
"hsa05220","hsa05220","Chronic myeloid leukemia","4/167","76/8644",0.059086794264671,0.558379961904049,0.539787288629049,"4616/6464/1026/7043",4
"hsa04066","hsa04066","HIF-1 signaling pathway","5/167","109/8644",0.0596708549324231,0.558379961904049,0.539787288629049,"230/1026/7037/6923/112398",5
"hsa05152","hsa05152","Tuberculosis","7/167","180/8644",0.0597114526605451,0.558379961904049,0.539787288629049,"805/1509/527/5534/5878/4261/7043",7
"hsa05145","hsa05145","Toxoplasmosis","5/167","111/8644",0.0635256584000745,0.558379961904049,0.539787288629049,"3303/3304/3949/4261/7043",5
"hsa04612","hsa04612","Antigen processing and presentation","4/167","78/8644",0.0638148527890342,0.558379961904049,0.539787288629049,"3303/3304/4261/3106",4
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis","2/167","23/8644",0.0720380703909325,0.603933974653195,0.5838244652931,"9215/729920",2
"hsa04145","hsa04145","Phagosome","6/167","152/8644",0.0739510989371259,0.603933974653195,0.5838244652931,"527/10381/7037/10383/5878/3106",6
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","6/167","155/8644",0.0795774545478114,0.624024333927901,0.603245865236424,"3953/9021/51079/4714/10975/126328",6
"hsa04218","hsa04218","Cellular senescence","6/167","156/8644",0.0815052191252768,0.624024333927901,0.603245865236424,"805/4616/5534/1026/7043/3106",6
"hsa00600","hsa00600","Sphingolipid metabolism","3/167","54/8644",0.0860418917391141,0.638795862911605,0.61752553879747,"8613/8611/10715",3
"hsa05134","hsa05134","Legionellosis","3/167","56/8644",0.0935724906561984,0.674272359140253,0.651820755345035,"3303/3304/1937",3
"hsa05323","hsa05323","Rheumatoid arthritis","4/167","93/8644",0.105232361402275,0.718162118578377,0.694249094221847,"6347/527/8741/7043",4
"hsa05131","hsa05131","Shigellosis","8/167","247/8644",0.105525862321721,0.718162118578377,0.694249094221847,"989/960/23176/55752/4735/10801/87/199746",8
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","6/167","170/8644",0.111189239170928,0.723110736716426,0.699032935601271,"3303/3304/5071/30001/10273/56605",6
"hsa00310","hsa00310","Lysine degradation","3/167","63/8644",0.121915354791992,0.723110736716426,0.699032935601271,"54904/51111/7468",3
"hsa00561","hsa00561","Glycerolipid metabolism","3/167","63/8644",0.121915354791992,0.723110736716426,0.699032935601271,"8613/8611/7920",3
"hsa05417","hsa05417","Lipid and atherosclerosis","7/167","215/8644",0.122637450847507,0.723110736716426,0.699032935601271,"3303/805/3304/6347/5534/3949/30001",7
"hsa00564","hsa00564","Glycerophospholipid metabolism","4/167","99/8644",0.124529247895537,0.723110736716426,0.699032935601271,"8613/8611/5338/85465",4
"hsa04915","hsa04915","Estrogen signaling pathway","5/167","137/8644",0.125761407349508,0.723110736716426,0.699032935601271,"3303/805/3304/1509/6464",5
"hsa04130","hsa04130","SNARE interactions in vesicular transport","2/167","33/8644",0.132953492137318,0.723110736716426,0.699032935601271,"6844/8675",2
"hsa04137","hsa04137","Mitophagy - animal","4/167","103/8644",0.138169412555675,0.723110736716426,0.699032935601271,"5071/27342/89941/5878",4
"hsa00051","hsa00051","Fructose and mannose metabolism","2/167","34/8644",0.139553832665402,0.723110736716426,0.699032935601271,"230/5208",2
"hsa03020","hsa03020","RNA polymerase","2/167","34/8644",0.139553832665402,0.723110736716426,0.699032935601271,"548644/5437",2
"hsa04710","hsa04710","Circadian rhythm","2/167","34/8644",0.139553832665402,0.723110736716426,0.699032935601271,"8553/4783",2
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","4/167","104/8644",0.141670674948524,0.723110736716426,0.699032935601271,"805/5534/3659/10379",4
"hsa04922","hsa04922","Glucagon signaling pathway","4/167","107/8644",0.152382909777298,0.749500376095142,0.724543865183273,"805/5534/57223/55671",4
"hsa04917","hsa04917","Prolactin signaling pathway","3/167","70/8644",0.15295926042758,0.749500376095142,0.724543865183273,"9021/6464/3659",3
"hsa04072","hsa04072","Phospholipase D signaling pathway","5/167","148/8644",0.158279298209499,0.752681095691458,0.727618674674879,"8613/8611/6464/4254/5338",5
"hsa05216","hsa05216","Thyroid cancer","2/167","37/8644",0.15975272235084,0.752681095691458,0.727618674674879,"4616/1026",2
"hsa04014","hsa04014","Ras signaling pathway","7/167","236/8644",0.172129143543103,0.784586469787925,0.758461678634944,"805/4301/6464/4254/1942/5338/5878",7
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","6/167","194/8644",0.172929262728767,0.784586469787925,0.758461678634944,"805/7538/5534/1026/3106/10379",6
"hsa04724","hsa04724","Glutamatergic synapse","4/167","115/8644",0.182357613007214,0.793470812169871,0.767050194364,"5534/5338/157/156",4
"hsa04110","hsa04110","Cell cycle","5/167","157/8644",0.187178990056456,0.793470812169871,0.767050194364,"4616/1026/23063/5515/7043",5
"hsa03440","hsa03440","Homologous recombination","2/167","41/8644",0.187432956181917,0.793470812169871,0.767050194364,"9577/7979",2
"hsa05160","hsa05160","Hepatitis C","5/167","158/8644",0.190503831280933,0.793470812169871,0.767050194364,"9021/1026/3949/5515/10379",5
"hsa04721","hsa04721","Synaptic vesicle cycle","3/167","78/8644",0.19108072619601,0.793470812169871,0.767050194364,"6844/527/1173",3
"hsa05169","hsa05169","Epstein-Barr virus infection","6/167","202/8644",0.19615721432917,0.798549898339304,0.771960159511679,"4616/960/1026/7979/3106/10379",6
"hsa04975","hsa04975","Fat digestion and absorption","2/167","43/8644",0.201514131330009,0.798549898339304,0.771960159511679,"8613/8611",2
"hsa04071","hsa04071","Sphingolipid signaling pathway","4/167","121/8644",0.206016548371308,0.798549898339304,0.771960159511679,"1509/10715/5338/5515",4
"hsa04152","hsa04152","AMPK signaling pathway","4/167","121/8644",0.206016548371308,0.798549898339304,0.771960159511679,"3953/92335/5208/5515",4
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","2/167","44/8644",0.208600789770267,0.798549898339304,0.771960159511679,"6844/5878",2
"hsa04630","hsa04630","JAK-STAT signaling pathway","5/167","166/8644",0.217831407389224,0.821056843236304,0.793717678746159,"3953/9021/1026/9180/10379",5
"hsa05225","hsa05225","Hepatocellular carcinoma","5/167","168/8644",0.224849983848278,0.823541804357791,0.796119896801302,"4616/6464/1026/6601/7043",5
"hsa04010","hsa04010","MAPK signaling pathway","8/167","301/8644",0.226559790424392,0.823541804357791,0.796119896801302,"3303/3304/4616/5534/4254/1843/1942/7043",8
"hsa05210","hsa05210","Colorectal cancer","3/167","86/8644",0.23129434842337,0.823541804357791,0.796119896801302,"4616/1026/7043",3
"hsa04530","hsa04530","Tight junction","5/167","170/8644",0.231936263268113,0.823541804357791,0.796119896801302,"4301/8531/87/51735/5515",5
"hsa05164","hsa05164","Influenza A","5/167","171/8644",0.235503692997518,0.824262925491314,0.796817006382581,"6347/9021/5371/4261/10379",5
"hsa05110","hsa05110","Vibrio cholerae infection","2/167","50/8644",0.251538060563028,0.855928122749191,0.827427830799433,"527/30001",2
"hsa05144","hsa05144","Malaria","2/167","50/8644",0.251538060563028,0.855928122749191,0.827427830799433,"6347/7043",2
"hsa04913","hsa04913","Ovarian steroidogenesis","2/167","51/8644",0.25873302654207,0.856616101389286,0.828092901450438,"51478/3949",2
"hsa04979","hsa04979","Cholesterol metabolism","2/167","51/8644",0.25873302654207,0.856616101389286,0.828092901450438,"51129/3949",2
"hsa04520","hsa04520","Adherens junction","3/167","93/8644",0.267633955977953,0.864986026785221,0.836184129008269,"4301/87/25945",3
"hsa00360","hsa00360","Phenylalanine metabolism","1/167","16/8644",0.268322196063987,0.864986026785221,0.836184129008269,"4282",1
"hsa04910","hsa04910","Insulin signaling pathway","4/167","137/8644",0.272786481360199,0.867956986146087,0.839056162762061,"805/9021/6464/9322",4
"hsa05162","hsa05162","Measles","4/167","138/8644",0.27709119694138,0.870350554495361,0.841370031198523,"3303/3304/10399/10379",4
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","3/167","97/8644",0.28870151336973,0.88923084228791,0.859621652050612,"8613/8611/5338",3
"hsa04621","hsa04621","NOD-like receptor signaling pathway","5/167","186/8644",0.290640988224047,0.88923084228791,0.859621652050612,"55914/6347/10628/2633/10379",5
"hsa05231","hsa05231","Choline metabolism in cancer","3/167","98/8644",0.293990605001309,0.88923084228791,0.859621652050612,"8613/8611/5338",3
"hsa04640","hsa04640","Hematopoietic cell lineage","3/167","99/8644",0.299286272410865,0.891827229812208,0.862131586284626,"960/4254/7037",3
"hsa05213","hsa05213","Endometrial cancer","2/167","58/8644",0.309032562470133,0.891827229812208,0.862131586284626,"4616/1026",2
"hsa05142","hsa05142","Chagas disease","3/167","102/8644",0.315201629565659,0.891827229812208,0.862131586284626,"6347/5515/7043",3
"hsa05146","hsa05146","Amoebiasis","3/167","102/8644",0.315201629565659,0.891827229812208,0.862131586284626,"87/5878/7043",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","5/167","193/8644",0.317156696061065,0.891827229812208,0.862131586284626,"8013/4616/5371/1026/7468",5
"hsa04978","hsa04978","Mineral absorption","2/167","60/8644",0.323309166847865,0.891827229812208,0.862131586284626,"4501/4494",2
"hsa05226","hsa05226","Gastric cancer","4/167","149/8644",0.325046019797266,0.891827229812208,0.862131586284626,"4616/6464/1026/7043",4
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","2/167","61/8644",0.330420689263677,0.891827229812208,0.862131586284626,"3303/3304",2
"hsa03250","hsa03250","Viral life cycle - HIV-1","2/167","63/8644",0.344580480417538,0.891827229812208,0.862131586284626,"22936/684",2
"hsa03420","hsa03420","Nucleotide excision repair","2/167","63/8644",0.344580480417538,0.891827229812208,0.862131586284626,"548644/5437",2
"hsa05217","hsa05217","Basal cell carcinoma","2/167","63/8644",0.344580480417538,0.891827229812208,0.862131586284626,"4616/1026",2
"hsa03013","hsa03013","Nucleocytoplasmic transport","3/167","108/8644",0.347064797472789,0.891827229812208,0.862131586284626,"7919/9818/11097",3
"hsa04350","hsa04350","TGF-beta signaling pathway","3/167","108/8644",0.347064797472789,0.891827229812208,0.862131586284626,"7037/5515/7043",3
"hsa04931","hsa04931","Insulin resistance","3/167","108/8644",0.347064797472789,0.891827229812208,0.862131586284626,"10724/9021/5524",3
"hsa04148","hsa04148","Efferocytosis","4/167","156/8644",0.355884507747719,0.891827229812208,0.862131586284626,"5627/575/5878/2621",4
"hsa03060","hsa03060","Protein export","1/167","23/8644",0.361912970490837,0.891827229812208,0.862131586284626,"6728",1
"hsa04720","hsa04720","Long-term potentiation","2/167","67/8644",0.372597739473331,0.891827229812208,0.862131586284626,"805/5534",2
"hsa05416","hsa05416","Viral myocarditis","2/167","67/8644",0.372597739473331,0.891827229812208,0.862131586284626,"1981/3106",2
"hsa04668","hsa04668","TNF signaling pathway","3/167","114/8644",0.378794861337088,0.891827229812208,0.862131586284626,"6347/9021/3659",3
"hsa04015","hsa04015","Rap1 signaling pathway","5/167","210/8644",0.382512843483733,0.891827229812208,0.862131586284626,"805/4301/4254/1942/51735",5
"hsa04920","hsa04920","Adipocytokine signaling pathway","2/167","69/8644",0.386429695364445,0.891827229812208,0.862131586284626,"3953/9021",2
"hsa04924","hsa04924","Renin secretion","2/167","69/8644",0.386429695364445,0.891827229812208,0.862131586284626,"805/5534",2
"hsa05031","hsa05031","Amphetamine addiction","2/167","69/8644",0.386429695364445,0.891827229812208,0.862131586284626,"805/5534",2
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","5/167","212/8644",0.390225937199301,0.891827229812208,0.862131586284626,"805/5534/684/6923/3106",5
"hsa04722","hsa04722","Neurotrophin signaling pathway","3/167","119/8644",0.404997201268618,0.891827229812208,0.862131586284626,"805/6464/27018",3
"hsa03040","hsa03040","Spliceosome","5/167","216/8644",0.40563304794707,0.891827229812208,0.862131586284626,"3303/3304/7919/3178/199746",5
"hsa05218","hsa05218","Melanoma","2/167","72/8644",0.406925171348577,0.891827229812208,0.862131586284626,"4616/1026",2
"hsa05223","hsa05223","Non-small cell lung cancer","2/167","72/8644",0.406925171348577,0.891827229812208,0.862131586284626,"4616/1026",2
"hsa00062","hsa00062","Fatty acid elongation","1/167","27/8644",0.409945213197442,0.891827229812208,0.862131586284626,"51495",1
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","1/167","27/8644",0.409945213197442,0.891827229812208,0.862131586284626,"51495",1
"hsa04966","hsa04966","Collecting duct acid secretion","1/167","27/8644",0.409945213197442,0.891827229812208,0.862131586284626,"527",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","5/167","222/8644",0.428654406228943,0.891827229812208,0.862131586284626,"7538/5534/1026/7043/3106",5
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","1/167","29/8644",0.432595763986097,0.891827229812208,0.862131586284626,"54798",1
"hsa04744","hsa04744","Phototransduction","1/167","29/8644",0.432595763986097,0.891827229812208,0.862131586284626,"805",1
"hsa05133","hsa05133","Pertussis","2/167","76/8644",0.433730780351495,0.891827229812208,0.862131586284626,"805/3659",2
"hsa05163","hsa05163","Human cytomegalovirus infection","5/167","225/8644",0.440105466980507,0.891827229812208,0.862131586284626,"805/6347/5534/1026/3106",5
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","2/167","79/8644",0.453407663151859,0.891827229812208,0.862131586284626,"6464/2621",2
"hsa03018","hsa03018","RNA degradation","2/167","79/8644",0.453407663151859,0.891827229812208,0.862131586284626,"23517/11044",2
"hsa00030","hsa00030","Pentose phosphate pathway","1/167","31/8644",0.454381830905235,0.891827229812208,0.862131586284626,"230",1
"hsa04136","hsa04136","Autophagy - other","1/167","32/8644",0.464960982680323,0.891827229812208,0.862131586284626,"5515",1
"hsa04215","hsa04215","Apoptosis - multiple species","1/167","32/8644",0.464960982680323,0.891827229812208,0.862131586284626,"5414",1
"hsa04068","hsa04068","FoxO signaling pathway","3/167","131/8644",0.466410048778212,0.891827229812208,0.862131586284626,"4616/1026/7043",3
"hsa04114","hsa04114","Oocyte meiosis","3/167","131/8644",0.466410048778212,0.891827229812208,0.862131586284626,"805/5534/5515",3
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","3/167","132/8644",0.471408962088656,0.891827229812208,0.862131586284626,"6464/5534/3106",3
"hsa04380","hsa04380","Osteoclast differentiation","3/167","135/8644",0.486278393513823,0.891827229812208,0.862131586284626,"9021/5534/10379",3
"hsa04210","hsa04210","Apoptosis","3/167","136/8644",0.491190828439637,0.891827229812208,0.862131586284626,"4616/1509/5414",3
"hsa04012","hsa04012","ErbB signaling pathway","2/167","85/8644",0.49156587589753,0.891827229812208,0.862131586284626,"6464/1026",2
"hsa00040","hsa00040","Pentose and glucuronate interconversions","1/167","36/8644",0.505277115868401,0.891827229812208,0.862131586284626,"729920",1
"hsa00350","hsa00350","Tyrosine metabolism","1/167","36/8644",0.505277115868401,0.891827229812208,0.862131586284626,"4282",1
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","1/167","36/8644",0.505277115868401,0.891827229812208,0.862131586284626,"57452",1
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","3/167","139/8644",0.505789693037278,0.891827229812208,0.862131586284626,"805/6347/1843",3
"hsa04540","hsa04540","Gap junction","2/167","88/8644",0.510012295576409,0.891827229812208,0.862131586284626,"10381/10383",2
"hsa04062","hsa04062","Chemokine signaling pathway","4/167","192/8644",0.510879643244899,0.891827229812208,0.862131586284626,"6347/6464/157/156",4
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","6/167","297/8644",0.514693046025464,0.891827229812208,0.862131586284626,"6347/3953/768211/9180/8741/7043",6
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","1/167","37/8644",0.514875015688334,0.891827229812208,0.862131586284626,"8659",1
"hsa05330","hsa05330","Allograft rejection","1/167","38/8644",0.524287804392882,0.891827229812208,0.862131586284626,"3106",1
"hsa05340","hsa05340","Primary immunodeficiency","1/167","38/8644",0.524287804392882,0.891827229812208,0.862131586284626,"4261",1
"hsa05032","hsa05032","Morphine addiction","2/167","91/8644",0.528019019319677,0.891827229812208,0.862131586284626,"157/156",2
"hsa05222","hsa05222","Small cell lung cancer","2/167","92/8644",0.533921770974279,0.891827229812208,0.862131586284626,"4616/1026",2
"hsa04912","hsa04912","GnRH signaling pathway","2/167","93/8644",0.539774250424747,0.891827229812208,0.862131586284626,"805/5338",2
"hsa04970","hsa04970","Salivary secretion","2/167","93/8644",0.539774250424747,0.891827229812208,0.862131586284626,"805/6844",2
"hsa05224","hsa05224","Breast cancer","3/167","147/8644",0.543635136372467,0.891827229812208,0.862131586284626,"4616/6464/1026",3
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","3/167","148/8644",0.548248566281901,0.891827229812208,0.862131586284626,"51079/4714/126328",3
"hsa05219","hsa05219","Bladder cancer","1/167","41/8644",0.551450657635883,0.891827229812208,0.862131586284626,"1026",1
"hsa05203","hsa05203","Viral carcinogenesis","4/167","204/8644",0.5589917234258,0.891827229812208,0.862131586284626,"1026/87/3106/10379",4
"hsa05332","hsa05332","Graft-versus-host disease","1/167","42/8644",0.560157822598664,0.891827229812208,0.862131586284626,"3106",1
"hsa03015","hsa03015","mRNA surveillance pathway","2/167","97/8644",0.562676459885526,0.891827229812208,0.862131586284626,"7919/5515",2
"hsa04070","hsa04070","Phosphatidylinositol signaling system","2/167","97/8644",0.562676459885526,0.891827229812208,0.862131586284626,"805/80271",2
"hsa04713","hsa04713","Circadian entrainment","2/167","97/8644",0.562676459885526,0.891827229812208,0.862131586284626,"805/51655",2
"hsa01522","hsa01522","Endocrine resistance","2/167","98/8644",0.56827408186228,0.891827229812208,0.862131586284626,"6464/1026",2
"hsa04925","hsa04925","Aldosterone synthesis and secretion","2/167","98/8644",0.56827408186228,0.891827229812208,0.862131586284626,"805/3949",2
"hsa04940","hsa04940","Type I diabetes mellitus","1/167","43/8644",0.56869695810506,0.891827229812208,0.862131586284626,"3106",1
"hsa04921","hsa04921","Oxytocin signaling pathway","3/167","154/8644",0.575351494888925,0.891827229812208,0.862131586284626,"805/5534/1026",3
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","2/167","100/8644",0.579314769736534,0.891827229812208,0.862131586284626,"6347/7043",2
"hsa04934","hsa04934","Cushing syndrome","3/167","155/8644",0.579770129099101,0.891827229812208,0.862131586284626,"1026/3949/51655",3
"hsa04150","hsa04150","mTOR signaling pathway","3/167","156/8644",0.584160043243246,0.891827229812208,0.862131586284626,"96459/92335/729438",3
"hsa04916","hsa04916","Melanogenesis","2/167","101/8644",0.584757636285675,0.891827229812208,0.862131586284626,"805/4254",2
"hsa02010","hsa02010","ABC transporters","1/167","45/8644",0.585283973062916,0.891827229812208,0.862131586284626,"5826",1
"hsa04390","hsa04390","Hippo signaling pathway","3/167","157/8644",0.588521048445697,0.891827229812208,0.862131586284626,"6657/5515/7043",3
"hsa04514","hsa04514","Cell adhesion molecules","3/167","158/8644",0.592852966688094,0.891827229812208,0.862131586284626,"64115/25945/3106",3
"hsa03050","hsa03050","Proteasome","1/167","46/8644",0.593338116160775,0.891827229812208,0.862131586284626,"7979",1
"hsa04930","hsa04930","Type II diabetes mellitus","1/167","46/8644",0.593338116160775,0.891827229812208,0.862131586284626,"9021",1
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","1/167","47/8644",0.601236759403523,0.898189061304044,0.868281584504447,"57452",1
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","2/167","106/8644",0.611195205040817,0.907532274151516,0.877313691446149,"1026/5338",2
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/167","49/8644",0.616579427258268,0.910011805290817,0.879710660324099,"8741",1
"hsa05165","hsa05165","Human papillomavirus infection","6/167","331/8644",0.62155926787046,0.910042657808047,0.879740485528724,"527/1026/5515/3659/3106/10379",6
"hsa00330","hsa00330","Arginine and proline metabolism","1/167","50/8644",0.624029251068375,0.910042657808047,0.879740485528724,"8659",1
"hsa04024","hsa04024","cAMP signaling pathway","4/167","225/8644",0.636690017301695,0.919499708934866,0.888882640216305,"805/5348/4301/5338",4
"hsa00270","hsa00270","Cysteine and methionine metabolism","1/167","52/8644",0.638499963837927,0.919499708934866,0.888882640216305,"4507",1
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/167","53/8644",0.645526326272641,0.919499708934866,0.888882640216305,"1173",1
"hsa05320","hsa05320","Autoimmune thyroid disease","1/167","53/8644",0.645526326272641,0.919499708934866,0.888882640216305,"3106",1
"hsa04670","hsa04670","Leukocyte transendothelial migration","2/167","115/8644",0.655530717068098,0.928352749605109,0.897440896503328,"4301/87",2
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","2/167","117/8644",0.664821310908809,0.935872067902247,0.90470984007736,"23506/6601",2
