"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00190","hsa00190","Oxidative phosphorylation","24/236","134/8644",1.30911073562964e-13,3.45605234206224e-11,3.27966689557741e-11,"1329/521/527/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/517/522/4729/518/1351/515/4718",24
"hsa05012","hsa05012","Parkinson disease","29/236","266/8644",1.36553128650584e-10,1.80250129818771e-08,1.71050761151785e-08,"805/1329/5071/23516/1843/7345/514/4708/54539/51079/506/10381/7979/498/10975/1337/513/4714/126328/509/517/522/4729/5687/518/1351/515/4718/5682",29
"hsa05020","hsa05020","Prion disease","28/236","272/8644",1.10468055303508e-09,7.58942157841634e-08,7.20208267808249e-08,"3303/3304/1329/514/4708/54539/51079/5534/1958/506/10381/7979/498/10975/1337/513/4714/126328/509/517/522/4729/5687/518/1351/515/4718/5682",28
"hsa05415","hsa05415","Diabetic cardiomyopathy","24/236","203/8644",1.14991236036611e-09,7.58942157841634e-08,7.20208267808249e-08,"1329/1509/514/4708/54539/51079/506/5524/498/10975/1337/513/4714/126328/509/25874/517/522/4729/7043/518/1351/515/4718",24
"hsa04714","hsa04714","Thermogenesis","25/236","232/8644",3.58540175647002e-09,1.65677532006355e-07,1.57221900388806e-07,"1329/521/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/517/522/6601/4729/51241/518/1351/515/4718",25
"hsa05016","hsa05016","Huntington disease","29/236","306/8644",3.76539845468989e-09,1.65677532006355e-07,1.57221900388806e-07,"1329/514/4708/54539/51079/506/548644/10381/1173/7979/5438/498/10975/1337/513/4714/126328/509/517/522/5437/4729/5687/518/1351/515/4718/5682/5434",29
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","31/236","364/8644",1.36819435187715e-08,5.16004726993666e-07,4.89669557513926e-07,"1329/5071/514/4708/54539/51079/5534/506/9818/10381/4747/7979/3178/498/10975/1337/513/4714/126328/509/517/522/23435/5217/4729/5687/518/1351/515/4718/5682",31
"hsa05010","hsa05010","Alzheimer disease","30/236","384/8644",1.65769007944477e-07,5.47037726216775e-06,5.19118735405073e-06,"805/1329/23516/355/514/4708/54539/51079/5534/506/10381/7979/498/10975/1337/513/4714/126328/509/517/522/4729/25825/5687/518/1351/515/1857/4718/5682",30
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","21/236","223/8644",6.79516227000223e-07,1.99324759920065e-05,1.89151885410588e-05,"1329/2353/514/4708/54539/51079/506/498/10975/1337/513/4714/126328/509/517/522/4729/518/1351/515/4718",21
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","32/236","476/8644",1.81756514893943e-06,4.79837199320009e-05,4.55347900471141e-05,"805/1329/5071/355/7345/514/4708/54539/51079/5534/506/10381/4747/7979/498/10975/1337/513/4714/126328/509/517/522/23435/4729/5687/518/1351/515/1857/4718/5682",32
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","14/236","155/8644",8.24174036349224e-05,0.00197801768723814,0.00187706622632646,"1329/2353/9021/355/4708/54539/51079/10975/1337/4714/126328/4729/1351/4718",14
"hsa05171","hsa05171","Coronavirus disease - COVID-19","17/236","232/8644",0.000198350386426485,0.00436370850138267,0.00414099929557048,"6232/6209/6347/2353/6171/4736/6139/6122/6154/6173/6133/6142/6144/715/6175/51187/10379",17
"hsa03010","hsa03010","Ribosome","13/236","167/8644",0.00063459930389608,0.0128872474021973,0.0122295250467423,"6232/6209/6171/4736/6139/6122/6154/6173/6133/6142/6144/6175/51187",13
"hsa04144","hsa04144","Endocytosis","16/236","250/8644",0.00133088944513303,0.0250967723939371,0.023815916386591,"3303/3304/3949/100287171/3133/5371/23111/23325/1173/377/5878/51019/157/3106/156/26056",16
"hsa04612","hsa04612","Antigen processing and presentation","7/236","78/8644",0.00526857770492115,0.0927269676066122,0.0879944907909637,"3303/3304/3133/3106/4261/6891/5721",7
"hsa04066","hsa04066","HIF-1 signaling pathway","8/236","109/8644",0.00976836165772804,0.161177967352513,0.15295197858811,"230/5214/3939/1026/6923/5163/112398/6921",8
"hsa03020","hsa03020","RNA polymerase","4/236","34/8644",0.0132111316496886,0.205161103265753,0.194690361153306,"548644/5438/5437/5434",4
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","9/236","142/8644",0.0156161630456011,0.229037058002149,0.217347766365676,"5071/9021/64326/5371/55284/6923/51529/10273/6921",9
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","11/236","194/8644",0.0171898727074289,0.238848757619013,0.226658709383274,"805/7538/2353/355/2785/5534/3133/1026/3106/10379/100507436",11
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","6/236","77/8644",0.0183792851362435,0.242606563798414,0.230224729601366,"23176/55752/6464/4735/2335/10801",6
"hsa03420","hsa03420","Nucleotide excision repair","5/236","63/8644",0.0283345521428408,0.356205798367141,0.33802623609003,"548644/902/5438/5437/5434",5
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","11/236","212/8644",0.0306366458307591,0.367639749969109,0.348876636733046,"805/2353/355/2785/5534/3133/684/6923/3106/6891/6921",11
"hsa04010","hsa04010","MAPK signaling pathway","14/236","301/8644",0.0361249265845906,0.397390026291488,0.377108557645033,"3303/3304/3925/3315/2353/1843/355/5534/9064/1942/3727/1647/7043/1969",14
"hsa03050","hsa03050","Proteasome","4/236","46/8644",0.0361263660264989,0.397390026291488,0.377108557645033,"7979/5687/5721/5682",4
"hsa05211","hsa05211","Renal cell carcinoma","5/236","69/8644",0.0397908271108743,0.420191134290832,0.39874597273213,"1026/6923/112398/7043/6921",5
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","8/236","148/8644",0.0495561403730709,0.471380180205781,0.44732249955732,"4708/54539/2785/51079/4714/126328/4729/4718",8
"hsa04115","hsa04115","p53 signaling pathway","5/236","74/8644",0.0512134625773462,0.471380180205781,0.44732249955732,"355/64326/575/1647/1026",5
"hsa04136","hsa04136","Autophagy - other","3/236","32/8644",0.05575282872431,0.471380180205781,0.44732249955732,"11345/5515/11337",3
"hsa05133","hsa05133","Pertussis","5/236","76/8644",0.0562674384720972,0.471380180205781,0.44732249955732,"805/2353/3659/710/715",5
"hsa04130","hsa04130","SNARE interactions in vesicular transport","3/236","33/8644",0.0601375050563096,0.471380180205781,0.44732249955732,"6844/8675/9570",3
"hsa04721","hsa04721","Synaptic vesicle cycle","5/236","78/8644",0.061599020241304,0.471380180205781,0.44732249955732,"6844/527/5864/1173/8775",5
"hsa04137","hsa04137","Mitophagy - animal","6/236","103/8644",0.0623610279014324,0.471380180205781,0.44732249955732,"5071/27342/11345/89941/5878/11337",6
"hsa04218","hsa04218","Cellular senescence","8/236","156/8644",0.0636192099545021,0.471380180205781,0.44732249955732,"805/677/5534/3133/1647/1026/7043/3106",8
"hsa03018","hsa03018","RNA degradation","5/236","79/8644",0.0643686911371673,0.471380180205781,0.44732249955732,"5214/10140/23517/51690/11044",5
"hsa00051","hsa00051","Fructose and mannose metabolism","3/236","34/8644",0.0646787669988858,0.471380180205781,0.44732249955732,"230/5214/5208",3
"hsa04110","hsa04110","Cell cycle","8/236","157/8644",0.0655355434489166,0.471380180205781,0.44732249955732,"7533/902/1647/1026/23063/5515/51529/7043",8
"hsa04340","hsa04340","Hedgehog signaling pathway","4/236","56/8644",0.0660646464682345,0.471380180205781,0.44732249955732,"57467/730094/157/156",4
"hsa04922","hsa04922","Glucagon signaling pathway","6/236","107/8644",0.0722106978356713,0.501674321805716,0.476070528667307,"805/5214/5534/57223/3939/55671",6
"hsa04915","hsa04915","Estrogen signaling pathway","7/236","137/8644",0.080954802243031,0.548001738260517,0.520033547472102,"3303/805/3304/2353/1509/6464/3872",7
"hsa05330","hsa05330","Allograft rejection","3/236","38/8644",0.084340703867397,0.55664864552482,0.528239145274749,"355/3133/3106",3
"hsa00310","hsa00310","Lysine degradation","4/236","63/8644",0.0927768243415188,0.597392234784414,0.56690331690068,"54904/51111/64754/7468",4
"hsa05169","hsa05169","Epstein-Barr virus infection","9/236","202/8644",0.101455041208579,0.637717401882496,0.605170421244155,"960/355/3133/1647/7979/1026/3106/10379/6891",9
"hsa05332","hsa05332","Graft-versus-host disease","3/236","42/8644",0.106216130950895,0.652117641186893,0.618835720105584,"355/3133/3106",3
"hsa05323","hsa05323","Rheumatoid arthritis","5/236","93/8644",0.110226121940067,0.65418514763662,0.620797707884831,"6347/2353/527/8741/7043",5
"hsa04940","hsa04940","Type I diabetes mellitus","3/236","43/8644",0.112000600206241,0.65418514763662,0.620797707884831,"355/3133/3106",3
"hsa04657","hsa04657","IL-17 signaling pathway","5/236","94/8644",0.113986806027593,0.65418514763662,0.620797707884831,"6347/2353/2354/3727/6426",5
"hsa05031","hsa05031","Amphetamine addiction","4/236","69/8644",0.119130884836833,0.667054067279934,0.633009840560703,"805/2353/5534/2354",4
"hsa04145","hsa04145","Phagosome","7/236","152/8644",0.122132157063732,0.667054067279934,0.633009840560703,"527/3133/10381/5878/715/3106/6891",7
"hsa04917","hsa04917","Prolactin signaling pathway","4/236","70/8644",0.123809277639079,0.667054067279934,0.633009840560703,"2353/9021/6464/3659",4
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis","2/236","23/8644",0.129237118496181,0.682371985659836,0.647545983201918,"9215/729920",2
"hsa05417","hsa05417","Lipid and atherosclerosis","9/236","215/8644",0.134018756988617,0.684416970591083,0.649486598886275,"3303/805/3304/6347/2353/3949/355/5534/30001",9
"hsa05160","hsa05160","Hepatitis C","7/236","158/8644",0.141137342504804,0.684416970591083,0.649486598886275,"7533/9021/3949/355/1026/5515/10379",7
"hsa05142","hsa05142","Chagas disease","5/236","102/8644",0.146194849083803,0.684416970591083,0.649486598886275,"6347/2353/355/5515/7043",5
"hsa05146","hsa05146","Amoebiasis","5/236","102/8644",0.146194849083803,0.684416970591083,0.649486598886275,"3315/2335/87/5878/7043",5
