"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","14/346","76/18903",8.9973746326257e-11,3.12388847244764e-07,2.92935576196961e-07,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0042776","BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","12/346","67/18903",2.84278888815063e-09,4.93508150982949e-06,4.62776106897363e-06,"521/514/506/9551/51079/498/513/4714/509/10632/522/126328",12
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","14/346","106/18903",8.43575710277678e-09,9.76298288694699e-06,9.15501639259248e-06,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0046034","BP","GO:0046034","ATP metabolic process","19/346","217/18903",2.0050652954161e-08,1.74039667642118e-05,1.63201762071632e-05,"3303/3304/521/230/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",19
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","14/346","117/18903",3.0609361485233e-08,1.9768456638641e-05,1.85374231091792e-05,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","14/346","118/18903",3.41620794446562e-08,1.9768456638641e-05,1.85374231091792e-05,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","14/346","123/18903",5.81842043959592e-08,2.88593653803958e-05,2.70622171724364e-05,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","15/346","147/18903",8.52994235559501e-08,3.70199498232823e-05,3.47146206655991e-05,"521/2631/514/506/9551/51079/498/513/4714/509/10975/10632/522/246269/126328",15
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","19/346","242/18903",1.14596243276116e-07,4.42086840727418e-05,4.14556936202372e-05,"3303/3304/521/230/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",19
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","19/346","247/18903",1.57924965300041e-07,5.18241149550563e-05,4.85968916917261e-05,"3303/3304/521/230/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",19
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","14/346","134/18903",1.71901747634111e-07,5.18241149550563e-05,4.85968916917261e-05,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","19/346","249/18903",1.79115604683374e-07,5.18241149550563e-05,4.85968916917261e-05,"3303/3304/521/230/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",19
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","19/346","267/18903",5.25477976316232e-07,0.000140343041059228,0.000131603512611021,"3303/3304/521/230/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",19
"GO:0009060","BP","GO:0009060","aerobic respiration","15/346","194/18903",3.02907525982629e-06,0.000751210664436919,0.000704430810424263,"521/2631/514/506/9551/51079/498/513/4714/509/10975/10632/522/246269/126328",15
"GO:0045333","BP","GO:0045333","cellular respiration","16/346","240/18903",9.58107703561496e-06,0.00221769996451034,0.00207959798394085,"8013/521/2631/514/506/9551/51079/498/513/4714/509/10975/10632/522/246269/126328",16
"GO:1902600","BP","GO:1902600","proton transmembrane transport","12/346","160/18903",3.98996701349124e-05,0.008658228419276,0.00811905787679501,"521/527/514/506/9551/498/513/509/10632/517/440400/522",12
"GO:0002181","BP","GO:0002181","cytoplasmic translation","12/346","161/18903",4.24165778902299e-05,0.00866296226087518,0.00812349692968922,"6232/6171/1973/10399/1981/8531/6139/6154/6144/6173/6133/6122",12
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","14/346","220/18903",5.72637151085421e-05,0.0110455343809366,0.0103577000485802,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","15/346","251/18903",6.42506074915265e-05,0.0117409531163463,0.0110098132394067,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328/4507",15
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","14/346","234/18903",0.000110806290797075,0.0192359720823723,0.0180380977597555,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0045830","BP","GO:0045830","positive regulation of isotype switching","5/346","28/18903",0.000138722633009996,0.0228014577664674,0.0213815513193317,"51111/7037/7468/54537/8741",5
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","17/346","333/18903",0.000148312572761276,0.0228014577664674,0.0213815513193317,"8013/521/3953/2631/514/506/9551/51079/498/513/4714/509/10975/10632/522/246269/126328",17
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","14/346","241/18903",0.000151046523222566,0.0228014577664674,0.0213815513193317,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","14/346","242/18903",0.000157718739780355,0.0228166443548913,0.0213957921991508,"521/527/514/506/9551/51079/498/513/4714/509/10632/517/522/126328",14
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","20/346","447/18903",0.000234014804453522,0.0324999760425052,0.0304761174810419,"3303/3304/521/230/8460/527/514/506/9551/51079/93974/498/513/4714/509/10632/5208/517/522/126328",20
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","10/360","21/19869",9.9489536821274e-13,3.706221488641e-10,3.4100827256261e-10,"521/514/506/9551/498/513/509/10632/517/522",10
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","10/360","22/19869",1.79478038190848e-12,3.706221488641e-10,3.4100827256261e-10,"521/514/506/9551/498/513/509/10632/517/522",10
