"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","20/475","76/18903",2.01544911380758e-15,8.0617964552303e-12,7.54838731255511e-12,"521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/518/515/4718",20
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","22/475","117/18903",1.48020469340203e-13,1.61332985011723e-10,1.51058621229397e-10,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/4831/518/515/4718",22
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","22/475","118/18903",1.77765723335238e-13,1.61332985011723e-10,1.51058621229397e-10,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/4831/518/515/4718",22
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","21/475","106/18903",1.8091825271495e-13,1.61332985011723e-10,1.51058621229397e-10,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/518/515/4718",21
"GO:0046034","BP","GO:0046034","ATP metabolic process","29/475","217/18903",2.01666231264653e-13,1.61332985011723e-10,1.51058621229397e-10,"3303/3304/7114/521/230/5214/527/514/4708/54539/51079/506/9551/3939/93974/498/513/4714/126328/509/10632/5208/517/522/4729/54541/518/515/4718",29
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","24/475","147/18903",2.97665292645879e-13,1.98443528430586e-10,1.85805808988428e-10,"1329/51142/521/2631/514/4708/54539/51079/506/9551/498/10975/1337/513/4714/126328/509/10632/522/246269/4729/1351/515/4718",24
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","22/475","123/18903",4.31767613485544e-13,2.46724350563168e-10,2.31011905079935e-10,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/4831/518/515/4718",22
"GO:0042776","BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","17/475","67/18903",5.07082764157966e-13,2.52427516616132e-10,2.36351869505315e-10,"521/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/522/4729/515/4718",17
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","30/475","242/18903",5.67961912386297e-13,2.52427516616132e-10,2.36351869505315e-10,"3303/3304/7114/521/230/5214/527/514/4708/54539/51079/506/9551/3939/93974/498/513/4714/126328/509/10632/5208/517/522/4729/54541/4831/518/515/4718",30
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","30/475","247/18903",9.71855111171646e-13,3.88742044468658e-10,3.63985314268286e-10,"3303/3304/7114/521/230/5214/527/514/4708/54539/51079/506/9551/3939/93974/498/513/4714/126328/509/10632/5208/517/522/4729/54541/4831/518/515/4718",30
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","30/475","249/18903",1.20006312517032e-12,4.36386590971027e-10,4.08595655440766e-10,"3303/3304/7114/521/230/5214/527/514/4708/54539/51079/506/9551/3939/93974/498/513/4714/126328/509/10632/5208/517/522/4729/54541/4831/518/515/4718",30
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","22/475","134/18903",2.61964349018581e-12,8.73214496728605e-10,8.1760452088431e-10,"7114/521/527/514/4708/54539/51079/506/9551/498/513/4714/126328/509/10632/517/522/4729/4831/518/515/4718",22
