"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","43/873","147/18903",3.90765126762011e-23,1.86238659414775e-19,1.76337905097762e-19,"521/514/513/246269/4697/65990/134145/498/2631/1350/506/1329/51142/29796/509/4729/1345/10632/4714/92014/1347/10476/1340/7388/126328/4725/11315/27089/515/51079/4713/54949/55967/522/54539/6622/54205/440567/4694/4698/4715/4704/4709",43
"GO:0009060","BP","GO:0009060","aerobic respiration","46/873","194/18903",1.64146288727196e-20,3.91160606036909e-17,3.7036586303868e-17,"521/514/513/246269/4697/65990/134145/498/2631/1350/506/1329/51142/29796/509/4729/3417/1345/10632/4714/92014/1347/10476/1340/7388/2647/126328/4725/11315/27089/515/51079/4713/54949/55967/522/54539/6622/54205/440567/4694/4698/4715/4704/4709/4190",46
"GO:0045333","BP","GO:0045333","cellular respiration","48/873","240/18903",4.47582569664495e-18,7.11059509006995e-15,6.73258412684804e-15,"521/514/513/246269/4697/65990/134145/498/2631/1350/506/1329/51142/29796/509/4729/3417/1345/10632/4714/92014/1347/10476/1340/7388/2647/126328/4725/11315/27089/515/51079/4713/54949/55967/522/8013/54539/6622/54205/440567/4694/4698/4715/4704/201163/4709/4190",48
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","27/873","76/18903",1.93690162405439e-17,2.3078182850608e-14,2.18513085850557e-14,"521/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/4709",27
"GO:0042776","BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","25/873","67/18903",7.70738625712397e-17,7.34668058029057e-14,6.95611892300852e-14,"521/514/513/65990/134145/498/506/509/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/4709",25
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","30/873","106/18903",4.23937296688237e-16,3.3674752600269e-13,3.18845472088153e-13,"7114/521/226/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/201163/4709",30
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","30/873","117/18903",8.0785367699757e-15,5.50032946367203e-12,5.20792287712569e-12,"7114/521/226/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/201163/4709",30
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","30/873","118/18903",1.03644257258552e-14,6.17460662617823e-12,5.84635435351858e-12,"7114/521/226/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/201163/4709",30
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","30/873","123/18903",3.45499987690711e-14,1.82961437925992e-11,1.73234906108781e-11,"7114/521/226/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/201163/4709",30
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","51/873","333/18903",3.92328298869197e-14,1.86983667241059e-11,1.77043307079184e-11,"521/514/513/246269/4697/65990/134145/498/2631/1350/506/1329/51142/29796/509/80183/4729/3417/1345/5260/10632/4714/92014/1347/10476/1340/7388/2647/126328/4725/11315/27089/515/51079/4713/54949/55967/522/8013/54539/6622/54205/440567/4694/4698/57103/4715/4704/201163/4709/4190",51
"GO:0046034","BP","GO:0046034","ATP metabolic process","39/873","217/18903",2.39050007200513e-13,1.03573848574331e-10,9.80676919491481e-11,"3303/3304/7114/5208/521/230/226/514/513/527/65990/134145/498/506/509/517/4729/5214/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/4694/481/4698/57103/4715/4704/201163/4709",39
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","30/873","134/18903",3.91671335117308e-13,1.44257402091016e-10,1.36588440657328e-10,"7114/521/226/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/4694/4698/4715/4704/201163/4709",30
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","25/873","93/18903",4.40041428580901e-13,1.44257402091016e-10,1.36588440657328e-10,"246269/4697/1350/1329/29796/4729/1345/4714/92014/1347/1340/7388/4725/11315/27089/4713/54949/6622/54205/440567/4694/4698/4715/4704/4709",25
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","26/873","101/18903",4.54020359077892e-13,1.44257402091016e-10,1.36588440657328e-10,"246269/4697/1350/1329/51142/29796/4729/1345/4714/1347/1340/7388/4725/11315/27089/4713/54949/55967/6622/54205/440567/4694/4698/4715/4704/4709",26
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","26/873","101/18903",4.54020359077892e-13,1.44257402091016e-10,1.36588440657328e-10,"246269/4697/1350/1329/51142/29796/4729/1345/4714/1347/1340/7388/4725/11315/27089/4713/54949/55967/6622/54205/440567/4694/4698/4715/4704/4709",26
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","27/873","122/18903",7.84369965500954e-12,2.32310027316033e-09,2.19960043091157e-09,"246269/4697/1350/1329/51142/29796/4729/1345/4714/92014/1347/1340/7388/4725/11315/27089/4713/54949/55967/6622/54205/440567/4694/4698/4715/4704/4709",27
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","39/873","242/18903",8.28634172130206e-12,2.32310027316033e-09,2.19960043091157e-09,"3303/3304/7114/5208/521/230/226/514/513/527/65990/134145/498/506/509/517/4729/5214/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/4694/481/4698/57103/4715/4704/201163/4709",39
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","39/873","247/18903",1.58082755104898e-11,4.18568006016635e-09,3.96316240429648e-09,"3303/3304/7114/5208/521/230/226/514/513/527/65990/134145/498/506/509/517/4729/5214/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/4694/481/4698/57103/4715/4704/201163/4709",39
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","39/873","249/18903",2.03598348256428e-11,5.10710383047441e-09,4.83560176717622e-09,"3303/3304/7114/5208/521/230/226/514/513/527/65990/134145/498/506/509/517/4729/5214/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/4694/481/4698/57103/4715/4704/201163/4709",39
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","39/873","267/18903",1.74694357123705e-10,4.16296653025788e-08,3.9416563631017e-08,"3303/3304/7114/5208/521/230/226/514/513/527/65990/134145/498/506/509/517/4729/5214/10632/4714/10476/126328/4725/669/515/51079/5223/4713/55967/522/54539/4694/481/4698/57103/4715/4704/201163/4709",39
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","34/873","220/18903",5.71593048746075e-10,1.29724403348752e-07,1.22828040098969e-07,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",34
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","34/873","234/18903",2.97190419428719e-09,6.43822517726033e-07,6.09595850761204e-07,"7114/521/226/51144/514/513/527/65990/134145/498/506/509/517/4729/10632/4714/10476/126328/4725/515/51079/4713/55967/522/54539/6622/4694/5166/4698/4715/4704/201163/4709/201562",34
