"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"XIST",1.43531109966782e-205,-7.84385294324793,0.003,0.341,7.0305843595029e-201,"down"
"PCDH9",9.21719226822379e-133,0.514356208533957,0.992,0.978,4.51485728874406e-128,"ns"
"BAI3",1.09848748301802e-121,0.618775185328253,0.951,0.743,5.38072123806717e-117,"ns"
"PTGDS",2.93997229827481e-106,-0.750733755442834,0.834,0.916,1.44008663086395e-101,"ns"
"RP11-384F7.2",1.83824666032973e-97,0.619234493767469,0.916,0.691,9.0042836162931e-93,"ns"
"ADGRV1",1.40281836557378e-94,-13.3296852523757,0,0.17,6.87142520009006e-90,"down"
"AC092691.1",8.96525754018353e-93,-13.3696196774453,0,0.167,4.3914521009081e-88,"down"
"LRP1B",1.62009698602447e-83,0.490520066641229,0.963,0.923,7.93572106664369e-79,"ns"
"ADGRB3",2.55840442415105e-80,-12.939873207503,0,0.146,1.25318323908191e-75,"down"
"RASGEF1B",3.54942923157944e-76,0.54729218078686,0.917,0.693,1.73861692050456e-71,"ns"
"LPHN3",5.92572364508008e-75,0.581357868723835,0.85,0.627,2.90259721306958e-70,"ns"
"OBI1-AS1",3.81798708972248e-71,-12.4973984995794,0,0.13,1.87016461615876e-66,"down"
"CADM2",1.23274788531781e-70,0.387961527375093,0.958,0.919,6.03836896665224e-66,"ns"
"ADGRL3",4.75507128541343e-70,-12.3630841500014,0,0.128,2.32917656773406e-65,"down"
"LINC00486",1.08129064293447e-69,0.581699920622414,0.936,0.771,5.29648595628593e-65,"ns"
"LSAMP",6.56678659962205e-69,0.281105974152493,0.996,0.992,3.21660908009287e-64,"ns"
"CDH20",1.60054777498746e-65,0.575859134416825,0.849,0.676,7.83996316622107e-61,"ns"
"GPM6A",3.48953385861333e-64,0.342425801987332,0.985,0.969,1.70927836996457e-59,"ns"
"NTRK2",1.91535687736205e-62,0.507537960541635,0.9,0.784,9.38199259238251e-58,"ns"
"AL589740.1",9.17492873849282e-61,-12.331427970129,0,0.112,4.49415534397594e-56,"down"
"RP11-436D23.1",4.89541514225419e-60,0.666485629637643,0.735,0.543,2.39792119913037e-55,"ns"
"HSPA1A",1.44613655288239e-59,1.75203300491023,0.227,0.08,7.0836106769838e-55,"up"
"CARMIL1",9.09007138409133e-54,-11.6146460461486,0,0.1,4.45258966606946e-49,"down"
"AC073050.1",2.06583785546027e-52,-11.5068795332471,0,0.097,1.0119093567401e-47,"down"
"AC074363.1",3.32286246039169e-52,0.644204027085814,0.671,0.484,1.62763771897366e-47,"ns"
"NR4A3",1.70517757848864e-50,2.5393065760326,0.123,0.026,8.35247133271092e-46,"up"
"RP11-444D3.1",1.23300880790764e-48,0.608812653517683,0.633,0.441,6.03964704377398e-44,"ns"
"CIRBP",2.21833636842341e-48,-0.916944305572172,0.287,0.479,1.08660770334484e-43,"ns"
"MAPK10",9.38058056694045e-47,0.434852454850515,0.856,0.723,4.59488977910444e-42,"ns"
"NRXN1",1.74531043114248e-46,0.282561252457991,0.98,0.962,8.54905408486519e-42,"ns"
"TTTY14",9.05602426885715e-46,0.833072955430021,0.31,0.146,4.4359123676143e-41,"ns"
"ZSWIM6",3.89306608910858e-45,0.520936166135295,0.708,0.552,1.90694056242805e-40,"ns"
"PLPP3",4.28173084499797e-45,-11.1793609707706,0,0.084,2.09732021980535e-40,"down"
"DPH6-AS1",8.48226108862765e-45,1.22939559173697,0.265,0.124,4.15486594904248e-40,"up"
"CALM2",1.76710759963936e-43,-3.61165618496723,0.018,0.118,8.65582315531348e-39,"down"
"ERBIN",1.81255720512092e-43,-11.076335940228,0,0.081,8.87844895784379e-39,"down"
"TNIK",5.06038380996579e-42,0.364290097306471,0.903,0.8,2.47872780163554e-37,"ns"
"HSPA1B",6.07985160500817e-42,1.8337444469375,0.153,0.051,2.97809371168115e-37,"up"
"PPP2R2B",1.01234637147139e-41,0.343166957202345,0.933,0.848,4.95877623137833e-37,"ns"
"GPR98",1.35807183908502e-41,0.334365814836635,0.951,0.755,6.65224328939015e-37,"ns"
"PRKN",1.49061388563134e-41,-11.099719767004,0,0.077,7.30147399598801e-37,"down"
"MTND2P28",1.42511919986862e-40,3.81526475100947,0.062,0.005,6.98066137671644e-36,"up"
"SEPTIN7",2.22812845389705e-40,-10.8928799867912,0,0.075,1.09140416057239e-35,"down"
"ASB3",1.20375592787648e-39,-11.0158735647461,0,0.074,5.89635766151734e-35,"down"
"DST",1.23963285305862e-39,-0.666284302848569,0.865,0.874,6.07209360413702e-35,"ns"
"MAGI2",3.03990563480647e-39,0.321540330353873,0.926,0.843,1.48903697709725e-34,"ns"
"TRPS1",4.03700869949444e-39,0.4436060941804,0.772,0.631,1.97744797127336e-34,"ns"
"UTY",9.09644698465349e-39,0.688425002221255,0.317,0.162,4.45571262649282e-34,"ns"
"DLC1",9.64087643065171e-39,0.619418969590338,0.63,0.482,4.72239050202612e-34,"ns"
"ADGRG1",1.27125706570918e-38,-10.910370618631,0,0.072,6.22699848496325e-34,"down"
"HSPB1",2.34574482164954e-38,0.906283577319036,0.226,0.102,1.14901618598859e-33,"ns"
"RNF219-AS1",3.54527658817276e-38,0.38183652678731,0.857,0.671,1.73658283118466e-33,"ns"
"HSPH1",5.45661376051867e-38,0.271561589168923,0.21,0.088,2.67281311831486e-33,"ns"
"TMEM161B-AS1",6.00843109149617e-38,0.548386771420561,0.671,0.534,2.94310980154757e-33,"ns"
"GRAMD2B",6.8243790553991e-38,-10.8942318460171,0,0.07,3.34278559270614e-33,"down"
"ZFP36",1.2761642987135e-37,-2.52711293902913,0.031,0.13,6.25103558438834e-33,"down"
"PARD3",2.04104849614757e-37,0.524081525385587,0.725,0.588,9.99766784867963e-33,"ns"
"AC002429.2",5.10913907819163e-37,-11.3255828592265,0,0.069,2.50260959467061e-32,"down"
"FUT9",5.48601997096944e-37,0.422022318440496,0.762,0.595,2.68721716237996e-32,"ns"
"NRG3",8.84147937482637e-37,0.252032524827997,0.984,0.956,4.3308218421712e-32,"ns"
"LINC01158",1.01922599081259e-36,0.746186464621134,0.399,0.245,4.99247467079732e-32,"ns"
"CH17-472G23.1",1.18706046178096e-36,1.18311633776261,0.249,0.126,5.81457825994169e-32,"up"
"GADD45B",1.26379987749994e-36,-2.34842476145417,0.044,0.147,6.19047093995797e-32,"down"
